"MatchId","Matchday","Date","HomeTeam","AwayTeam","difficulty"
128,13,2020-12-16,Liverpool,Spurs,1
129,13,2020-12-16,Man City,West Brom,3
130,14,2020-12-19,Brighton,Sheffield Utd,0
131,14,2020-12-19,Burnley,Wolves,-1
132,14,2020-12-19,Chelsea,West Ham,1
133,14,2020-12-19,Crystal Palace,Liverpool,-2
134,14,2020-12-19,Everton,Arsenal,0
135,14,2020-12-19,Man Utd,Leeds,1
136,14,2020-12-19,Newcastle,Fulham,1
137,14,2020-12-19,Southampton,Man City,-2
138,14,2020-12-19,Spurs,Leicester,0
139,14,2020-12-19,West Brom,Aston Villa,-1
140,15,2020-12-26,Arsenal,Chelsea,0
141,15,2020-12-26,Aston Villa,Crystal Palace,0
142,15,2020-12-26,Fulham,Southampton,-1
143,15,2020-12-26,Leeds,Burnley,0
144,15,2020-12-26,Leicester,Man Utd,0
145,15,2020-12-26,Liverpool,West Brom,3
146,15,2020-12-26,Man City,Newcastle,2
147,15,2020-12-26,Sheffield Utd,Everton,-1
148,15,2020-12-26,West Ham,Brighton,0
149,15,2020-12-26,Wolves,Spurs,0
150,16,2020-12-28,Brighton,Arsenal,-1
151,16,2020-12-28,Burnley,Sheffield Utd,0
152,16,2020-12-28,Chelsea,Aston Villa,1
153,16,2020-12-28,Crystal Palace,Leicester,-1
154,16,2020-12-28,Everton,Man City,-1
155,16,2020-12-28,Man Utd,Wolves,0
156,16,2020-12-28,Newcastle,Liverpool,-2
157,16,2020-12-28,Southampton,West Ham,0
158,16,2020-12-28,Spurs,Fulham,2
159,16,2020-12-28,West Brom,Leeds,-1
160,17,2021-01-02,Brighton,Wolves,-1
161,17,2021-01-02,Burnley,Fulham,1
162,17,2021-01-02,Chelsea,Man City,-1
163,17,2021-01-02,Crystal Palace,Sheffield Utd,0
164,17,2021-01-02,Everton,West Ham,1
165,17,2021-01-02,Man Utd,Aston Villa,1
166,17,2021-01-02,Newcastle,Leicester,-1
167,17,2021-01-02,Southampton,Liverpool,-2
168,17,2021-01-02,Spurs,Leeds,1
169,17,2021-01-02,West Brom,Arsenal,-2
170,18,2021-01-12,Arsenal,Crystal Palace,1
171,18,2021-01-12,Aston Villa,Spurs,-1
172,18,2021-01-12,Fulham,Man Utd,-2
173,18,2021-01-12,Leeds,Southampton,0
174,18,2021-01-12,Leicester,Chelsea,0
175,18,2021-01-12,Sheffield Utd,Newcastle,0
176,18,2021-01-12,West Ham,West Brom,1
177,18,2021-01-12,Wolves,Everton,0
178,18,2021-01-13,Liverpool,Burnley,2
179,18,2021-01-13,Man City,Brighton,2
180,19,2021-01-16,Arsenal,Newcastle,1
181,19,2021-01-16,Aston Villa,Everton,-1
182,19,2021-01-16,Fulham,Chelsea,-2
183,19,2021-01-16,Leeds,Brighton,0
184,19,2021-01-16,Leicester,Southampton,1
185,19,2021-01-16,Liverpool,Man Utd,1
186,19,2021-01-16,Man City,Crystal Palace,2
187,19,2021-01-16,Sheffield Utd,Spurs,-1
188,19,2021-01-16,West Ham,Burnley,0
189,19,2021-01-16,Wolves,West Brom,2
190,20,2021-01-26,Brighton,Fulham,1
191,20,2021-01-26,Burnley,Aston Villa,0
192,20,2021-01-26,Everton,Leicester,0
193,20,2021-01-26,Man Utd,Sheffield Utd,1
194,20,2021-01-26,West Brom,Man City,-3
195,20,2021-01-27,Chelsea,Wolves,0
196,20,2021-01-27,Newcastle,Leeds,0
197,20,2021-01-27,Southampton,Arsenal,-1
198,20,2021-01-27,Spurs,Liverpool,-1
199,20,2021-01-27,Crystal Palace,West Ham,0
200,21,2021-01-30,Arsenal,Man Utd,0
201,21,2021-01-30,Brighton,Spurs,-1
202,21,2021-01-30,Chelsea,Burnley,1
203,21,2021-01-30,Crystal Palace,Wolves,-1
204,21,2021-01-30,Everton,Newcastle,1
205,21,2021-01-30,Leicester,Leeds,1
206,21,2021-01-30,Man City,Sheffield Utd,2
207,21,2021-01-30,Southampton,Aston Villa,0
208,21,2021-01-30,West Brom,Fulham,0
209,21,2021-01-30,West Ham,Liverpool,-2
210,22,2021-02-02,Aston Villa,West Ham,0
211,22,2021-02-02,Burnley,Man City,-2
212,22,2021-02-02,Fulham,Leicester,-2
213,22,2021-02-02,Leeds,Everton,-1
214,22,2021-02-02,Sheffield Utd,West Brom,1
215,22,2021-02-02,Wolves,Arsenal,0
216,22,2021-02-02,Man Utd,Southampton,1
217,22,2021-02-03,Newcastle,Crystal Palace,0
218,22,2021-02-03,Spurs,Chelsea,0
219,22,2021-02-03,Liverpool,Brighton,2
220,23,2021-02-06,Aston Villa,Arsenal,-1
221,23,2021-02-06,Burnley,Brighton,0
222,23,2021-02-06,Fulham,West Ham,-1
223,23,2021-02-06,Leeds,Crystal Palace,0
224,23,2021-02-06,Liverpool,Man City,0
225,23,2021-02-06,Man Utd,Everton,0
226,23,2021-02-06,Newcastle,Southampton,0
227,23,2021-02-06,Sheffield Utd,Chelsea,-1
228,23,2021-02-06,Spurs,West Brom,2
229,23,2021-02-06,Wolves,Leicester,0
230,24,2021-02-13,Arsenal,Leeds,1
231,24,2021-02-13,Brighton,Aston Villa,0
232,24,2021-02-13,Chelsea,Newcastle,1
233,24,2021-02-13,Crystal Palace,Burnley,0
234,24,2021-02-13,Everton,Fulham,2
235,24,2021-02-13,Leicester,Liverpool,-1
236,24,2021-02-13,Man City,Spurs,1
237,24,2021-02-13,Southampton,Wolves,-1
238,24,2021-02-13,West Brom,Man Utd,-2
239,24,2021-02-13,West Ham,Sheffield Utd,0
240,25,2021-02-20,Arsenal,Man City,-1
241,25,2021-02-20,Aston Villa,Leicester,-1
242,25,2021-02-20,Brighton,Crystal Palace,0
243,25,2021-02-20,Burnley,West Brom,1
244,25,2021-02-20,Fulham,Sheffield Utd,-1
245,25,2021-02-20,Liverpool,Everton,1
246,25,2021-02-20,Man Utd,Newcastle,1
247,25,2021-02-20,Southampton,Chelsea,-1
248,25,2021-02-20,West Ham,Spurs,-1
249,25,2021-02-20,Wolves,Leeds,1
250,26,2021-02-27,Chelsea,Man Utd,0
251,26,2021-02-27,Crystal Palace,Fulham,1
252,26,2021-02-27,Everton,Southampton,1
253,26,2021-02-27,Leeds,Aston Villa,0
254,26,2021-02-27,Leicester,Arsenal,0
255,26,2021-02-27,Man City,West Ham,2
256,26,2021-02-27,Newcastle,Wolves,-1
257,26,2021-02-27,Sheffield Utd,Liverpool,-2
258,26,2021-02-27,Spurs,Burnley,1
259,26,2021-02-27,West Brom,Brighton,-1
260,27,2021-03-06,Aston Villa,Wolves,-1
261,27,2021-03-06,Brighton,Leicester,-1
262,27,2021-03-06,Burnley,Arsenal,-1
263,27,2021-03-06,Chelsea,Everton,0
264,27,2021-03-06,Liverpool,Fulham,3
265,27,2021-03-06,Man City,Man Utd,1
266,27,2021-03-06,Sheffield Utd,Southampton,0
267,27,2021-03-06,Spurs,Crystal Palace,1
268,27,2021-03-06,West Brom,Newcastle,-1
269,27,2021-03-06,West Ham,Leeds,0
270,28,2021-03-13,Arsenal,Spurs,0
271,28,2021-03-13,Crystal Palace,West Brom,1
272,28,2021-03-13,Everton,Burnley,1
273,28,2021-03-13,Fulham,Man City,-3
274,28,2021-03-13,Leeds,Chelsea,-1
275,28,2021-03-13,Leicester,Sheffield Utd,1
